Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Hopewell Furnace,National Historic Site,"Hopewell Furnace showcases an early American landscape of industrial operations from 1771-1883, Hopewell and other ""iron plantations"" laid the foundation for the transformation of the United States into an industrial giant for the time. The park's 848 acres and historic structures illustrate the business, technology and lifestyle of our growing nation.",2 Mark Bird Lane,,,Elverson,PA,19520,610 582-8773
Independence,National Historical Park,"The park represents the founding ideals of the nation, and preserves national and international symbols of freedom and democracy, including Independence Hall and the Liberty Bell.  The Declaration of Independence and U.S. Constitution were both debated and signed inside Independence Hall, a UNESCO World Heritage Site.",143 S. 3rd Street,,,Philadelphia,PA,19106,215-965-2305
Johnstown Flood,National Memorial,"The South Fork dam failed on Friday, May 31, 1889 and unleashed 20,000,000 tons of water that devastated Johnstown, PA.  The flood killed 2,209 people but it brought the nation and the world together to aid the ""Johnstown sufferers.""  The story of the Johnstown Flood reminds us all, ""...that we must leave nothing undone for the preservation and protection of our brother men.""",733 Lake Road,,,South Fork,PA,15956,814 886-6171
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Lower Delaware,National Wild and Scenic River,"The largest free-flowing river in the eastern United States, the Delaware River runs past forests, farmlands, and villages, and it also links some of the most densely populated regions in America.
In 2000, the National Wild and Scenic River System incorporated key segments of the lower Delaware River to form this unit of the National Park System.",NPS Wild & Scenic Rivers,200 Chestnut Street,,Philadelphia,PA,19106,215-597-6482
North Country,National Scenic Trail,"Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to Vermont, adventure is never far away.","318 East Main Street, Suite K",,,Lowell,MI,49331,616 319-7906
Potomac Heritage,National Scenic Trail,"Over thousands of years, the Potomac River wound its way through layers of rock.  Carving limestone cliffs, roaring falls, and serene winding bends, these waters created a landscape and shaped a nation.  Today, the Potomac River corridor is rich in both history and recreation. Offering a chance to both explore your heritage and choose your adventure along the way.  Start your journey below!",Potomac Heritage NST Office,National Park Service,1100 Ohio Drive SW,Washington,DC,20242,301-739-4200
Steamtown,National Historic Site,"You'd feel heat from the firebox, smell hot steam and oil; you'd hear the whistle, feel the ground vibrate, and watch as one-ton drive rods turned steel wheels. Remember the sound of ""chuff-chuff"" from the smokestack? Today, you can learn the history of steam railroad transportation, and the people who built, repaired and rode, as we work to preserve a special era in America's industrial history!",150 South Washington Avenue,,,Scranton,PA,18503-2018,570-340-5200
Thaddeus Kosciuszko,National Memorial,Visit the house where wounded Polish freedom fighter Thaddeus Kosciuszko lived and hear how this brilliant military engineer designed successful fortifications during the American Revolution. See the room where he received notable visitors such as Chief Little Turtle and Thomas Jefferson.,c/o Independence National Historical Park,143 S. 3rd Street,,Philadelphia,PA,19106,215 965-2305
Upper Delaware,Scenic & Recreational River,"Canoe through rapids and quiet pools as the Delaware River winds its way through a valley of swiftly changing scenery or fish amid rolling hills and riverfront villages in one of the finest fishing rivers in the northeastern United States. The clean water of the Delaware, the last major undammed river in the eastern United States, supports a healthy ecosystem and offers tranquility and excitement.",274 River Road,,,Beach Lake,PA,18405,570 685-4871
Valley Forge,National Historical Park,"Valley Forge is the encampment site of the Continental Army during the winter of 1777-1778. The park features 3,500 acres of monuments, meadows, and woodlands commemorating the sacrifices and perseverance of the Revolutionary War generation and honoring the power of people to pull together and overcome adversity during extraordinary times.",1400 North Outer Line Drive,,,King of Prussia,PA,19406,610 783-1000
Washington-Rochambeau Revolutionary Route,National Historic Trail,"In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence.",Washington-Rochambeau National Historic Trail,,1400 North Outer Line Drive,King of Prussia,PA,19406,610-783-1006
San Juan,National Historic Site,San Juan National Historic Site preserves stories of great ambition and aspirations. Countries fought for control of this tiny yet strategic island for centuries. Generations of soldiers have lived and worked within the forts. Visitors today are as inspired by these stories as they are by the beauty of the architecture and the ingenuity of design and engineering of this World Heritage Site.,501 Norzagaray Street,,,San Juan,PR,901,787 729-6777
Blackstone River Valley,National Historical Park,"The Blackstone River powered America's entry into the Age of Industry. The success of Samuel Slater's cotton spinning mill in Pawtucket, RI touched off a chain reaction that changed how people worked and where they lived, and continues to reverberate across the nation to this day. Come visit and see how this revolution transformed the landscape of the Blackstone Valley and then the United States.",67 Roosevelt Ave,,,Pawtucket,RI,2860,401-725-8638
Roger Williams,National Memorial,"Roger Williams National Memorial commemorates the life of the founder of Rhode Island and a champion of the ideal of religious freedom. Williams, banished from Massachusetts for his beliefs, founded Providence in 1636. This colony served as a refuge where all could come to worship as their conscience dictated without interference from the state.",282 North Main Street,,,Providence,RI,2903,401-521-7266
Touro Synagogue,National Historic Site,"Touro Synagogue, a building of exquisite beauty and design, steeped in history and ideals, and one of the most historically significant Jewish buildings in America, was designated a National Historic Site in 1946.  Dedicated in 1763, it still serves an active congregation and each year greets over 30,000 visitors who come to see the magnificent interior and hear its remarkable story.",85 Touro Street,,,Newport,RI,2840,401 847-4794
Washington-Rochambeau Revolutionary Route,National Historic Trail,"In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence.",Washington-Rochambeau National Historic Trail,,1400 North Outer Line Drive,King of Prussia,PA,19406,610-783-1006
Charles Pinckney,National Historic Site,"Charles Pinckney was a principal author and signer of the United States Constitution, and went on to be a political leader in South Carolina for over 40 years. The park preserves Snee Farm, one of his plantation properties, where visitors can learn about the politician's influences on Charleston, the African people he enslaved, plantation operations, and the legacy of Pinckney's life.",1214 Middle Street,,,Sullivan's Island,SC,29482,843 577-0242
Congaree,National Park,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States. Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees.",100 National Park Road,,,Hopkins,SC,29061,803 776-4396
Cowpens,National Battlefield,"“…our success was complete…”
-- Daniel Morgan to Nathanael Greene, January 19, 1781
A pasturing area at the time of the battle, this Revolutionary War site commemorates the place where Daniel Morgan and his army turned the flanks of Banastre Tarleton's British army. This classic military tactic, known as a double envelopment, was one of only a few in history.",Cowpens National Battlefield,338 New Pleasant Road,,Gaffney,SC,29341,864 461-2828
Fort Sumter and Fort Moultrie,National Historical Park,"Two forts stand at the entrance of Charleston Harbor. Patriots inside a palmetto log fort, later named Fort Moultrie, defeated the Royal Navy in 1776. As Charleston blazed a path towards secession to preserve slavery, construction on a new fort, Fort Sumter, proceeded. The Confederacy fired on the US garrison of Fort Sumter on April 12, 1861 opening the Civil War, which redefined American freedom.",1214 Middle Street,,,Sullivan's Island,SC,29482,(843) 577-0242
Kings Mountain,National Military Park,"Thomas Jefferson called it ""The turn of the tide of success."" The battle of Kings Mountain, fought October 7th, 1780, was an important American victory during the Revolutionary War. The battle was the first major patriot victory to occur after the British invasion of Charleston, SC in May 1780. The park preserves the site of this important battle.",2625 Park Road,,,Blacksburg,SC,29702,864 936-7921
Ninety Six,National Historic Site,Settlers struggled against the harsh backcountry to survive. Cherokee Indians hunted and fought to keep their land. Two towns and a trading post were formed then abandoned to the elements. And two Revolutionary War battles claimed over 100 lives. Come discover the 18th century history of South Carolina.,Ninety Six National Historic Site,1103 Hwy 248,,Ninety Six,SC,29666,864 543-4068
Overmountain Victory,National Historic Trail,"Stretching 330 miles through four states (Virginia, Tennessee, North and South Carolina) the Overmountain Victory National Historic Trail traces the route used by patriot militia during the pivotal Kings Mountain campaign of 1780. Follow the campaign by utilizing a Commemorative Motor Route which uses existing state highways marked with the distinctive trail logo, or 87 miles of walkable pathways.",338 New Pleasant Road,,,Gaffney,SC,29341,864 461-2828
Reconstruction Era,National Historical Park,"The Reconstruction era,1861-1900 the historic period in which the United States grappled with the question of how to integrate millions of newly freed African Americans into social, political,economic, and labor systems, was a time of significant transformation. The people, places, and events in Beaufort County, South Carolina, reflect on the most important issues of this tumultuous time period.",706 Craven Street,,,Beaufort,SC,29902,(843) 962-0039
Badlands,National Park,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",25216 Ben Reifel Road,,,Interior,SD,57750,605 433-5361
Jewel Cave,National Monument,"Immerse yourself within the third longest cave in the world. With over 210 miles of mapped and surveyed passages, this underground wilderness appeals to human curiosity. Its splendor is revealed through fragile formations and glimpses of brilliant color. Its maze of passages lure explorers, and its scientific wealth remains a mystery. This resource is truly a jewel in the National Park Service.",11149 U.S. Hwy. 16,Building B12,,Custer,SD,57730,605 673-8300
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Minuteman Missile,National Historic Site,"During the Cold War, a vast arsenal of nuclear missiles were placed in the Great Plains. Hidden in plain sight, for thirty years 1,000 missiles were kept on constant alert; hundreds remain today. The Minuteman Missile remains an iconic weapon in the American nuclear arsenal. It holds the power to destroy civilization, but is meant as a nuclear deterrent to maintain peace and prevent war.",24545 Cottonwood Road,,,Philip,SD,57567,605 433-5552
Missouri,National Recreational River,"Imagine a 100-mile stretch of North America's longest river, a vestige of the untamed American West. The Missouri National Recreational River is where imagination meets reality. Two free flowing stretches of the Missouri make up the National Park. Relive the past by making an exploration of the wild, untamed and mighty river that continues to flow as nature intended.",508 East 2nd Street,,,Yankton,SD,57078,605-665-0209
Mount Rushmore,National Memorial,"Majestic figures of George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln, surrounded by the beauty of the Black Hills of South Dakota, tell the story of the birth, growth, development and preservation of this country. From the history of the first inhabitants to the diversity of America today, Mount Rushmore brings visitors face to face with the rich heritage we all share.",13000 Highway 244,"Building 31, Suite 1",,Keystone,SD,57751,605 574-2523
Wind Cave,National Park,"Bison, elk, and other wildlife roam the rolling prairie grasslands and forested hillsides of one of America's oldest national parks.
Below the remnant island of intact prairie sits Wind Cave, one of the longest and most complex caves in the world. Named for barometric winds at its entrance, this maze of passages is home to boxwork, a unique formation rarely found elsewhere.",26611 US Highway 385,,,Hot Springs,SD,57747,605 745-4600
Andrew Johnson,National Historic Site,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",Andrew Johnson National Historic Site,121 Monument Ave.,,Greeneville,TN,37743,423 638-3551
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Big South Fork,National River & Recreation Area,"Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.",4564 Leatherwood Road,,,Oneida,TN,37841,423 569-9778
Chickamauga & Chattanooga,National Military Park,"In 1863, Union and Confederate forces fought for control of Chattanooga, known as the ""Gateway to the Deep South."" The Confederates were victorious at nearby Chickamauga in September. However, renewed fighting in Chattanooga that November provided Union troops victory and control of the city. After the fighting, a Confederate soldier ominously wrote, ""This...is the death-knell of the Confederacy.""",3370 LaFayette Road,,,Fort Oglethorpe,GA,30742,706-866-9241
Cumberland Gap,National Historical Park,"At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park.",91 Bartlett Park Road,,,Middlesboro,KY,40965,606 248-2817
Fort Donelson,National Battlefield,"Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.",174 National Cemetery Drive,PO Box 434,,Dover,TN,37058,931-232-5706
Great Smoky Mountains,National Park,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park. Plan your visit today!",107 Park Headquarters Road,,,Gatlinburg,TN,37738,865 436-1200
Manhattan Project,National Historical Park,"The Manhattan Project is one of the most transformative events of the 20th century. It ushered in the nuclear age with the development of the world’s first atomic bombs. The building of atomic weapons began in 1942 in three secret communities across the nation. As World War II waned in 1945, the United States dropped the atomic bombs on Hiroshima and Nagasaki, Japan — forever changing the world.",Manhattan Project National Historical Park,c/o NPS Intermountain Regional Office,P.O. Box 25287,Denver,CO,80225-0287,Hanford: 509.376.1647
Natchez Trace,Parkway,"The Natchez Trace Parkway is a 444-mile recreational road and scenic drive through three states. It roughly follows the ""Old Natchez Trace"" a historic travel corridor used by American Indians, ""Kaintucks,"" European settlers, slave traders, soldiers, and future presidents. Today, people can enjoy not only a scenic drive but also hiking, biking, horseback riding, and camping along the parkway.",2680 Natchez Trace Parkway,,,Tupelo,MS,38804,800 305-7417
Natchez Trace,National Scenic Trail,"The Natchez Trace National Scenic Trail is five sections of hiking trail running roughly parallel to the 444-mile long Natchez Trace Parkway scenic motor road.  The foot trails total more than 60 miles and offer opportunities to explore wetlands, swamps, hardwood forest, and the history of the area.
For What's Open What's Close visit www.nps.gov/natr/planyourvisit/what-is-open-what-is-closed.htm",2680 Natchez Trace Parkway,,,Tupelo,MS,38804,18003057417
Obed,Wild & Scenic River,"The Obed Wild and Scenic River looks much the same today as it did when the first white settlers strolled its banks in the late 1700s. While meagerly populated due to poor farming soil, the river was a hospitable fishing and hunting area for trappers and pioneers. Today, the Obed stretches along the Cumberland Plateau and offers visitors a variety of outdoor recreational opportunities.",208 N. Maiden Street,,,Wartburg,TN,37887,423 346-6294
Overmountain Victory,National Historic Trail,"Stretching 330 miles through four states (Virginia, Tennessee, North and South Carolina) the Overmountain Victory National Historic Trail traces the route used by patriot militia during the pivotal Kings Mountain campaign of 1780. Follow the campaign by utilizing a Commemorative Motor Route which uses existing state highways marked with the distinctive trail logo, or 87 miles of walkable pathways.",338 New Pleasant Road,,,Gaffney,SC,29341,864 461-2828
Shiloh,National Military Park,"Visit the sites of the most epic struggle in the Western Theater of the Civil War. Nearly 110,000 American troops clashed in a bloody contest that resulted in 23,746 casualties; more casualties than in all of America's previous wars combined. Explore both the Shiloh and Corinth battlefields to discover the impact of this struggle on the soldiers and on the nation.",1055 Pittsburg Landing Road,,,Shiloh,TN,38376,731 689-5696
Stones River,National Battlefield,"The Battle of Stones River began on the last day of 1862 and was one of the bloodiest conflicts of the Civil War. The battle produced important military and political gains for the Union, and it changed forever the people who lived and fought here.",3501 Old Nashville Highway,,,Murfreesboro,TN,37129,615-893-9501
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Alibates Flint Quarries,National Monument,"13,000 years ago, this site was well-known by mammoth hunters as a source of flint for tools. Centuries passed, but the colorful flint never lost its value or usefulness in the Texas Panhandle.  Learn how important this site was to the survival, commerce and culture of the people of the High Plains.",P.O. Box 1460,,,Fritch,TX,79036,806 857-6680
Amistad,National Recreation Area,"An oasis in the desert, Amistad National Recreation Area consists of the US portion of the International Amistad Reservoir. Amistad, whose name comes from the Spanish word meaning friendship, is best known for excellent water-based recreation, camping, hiking, rock art viewing, and its rich cultural history. Amistad is also home to a wide variety of plant and animal life above and below the water.",10477 Highway 90 West,,,Del Rio,TX,78840,(830)775-7491
Big Bend,National Park,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...",PO Box 129,,,Big Bend National Park,TX,79834-0129,432-477-2251
Big Thicket,National Preserve,"Life of all types abounds in the Big Thicket. This national preserve protects the incredible diversity of life found where multiple habitats converge in southeast Texas. Hiking trails and waterways meander through nine different ecosystems, from longleaf pine forests to cypress-lined bayous. It is a place of discovery, a place to wander and explore, a place to marvel at the richness of nature.",6044 FM 420,,,Kountze,TX,77625,409-951-6700
Chamizal,National Memorial,Chamizal is more than just an urban park to recreate or enjoy a quiet afternoon. These grounds are a reminder of the harmonious settlement of a 100-year boundary dispute between the United States and Mexico. We celebrate the cultures of the borderlands to promote the same mutual respect that helped to diplomatically resolve an international disagreement.,800 South San Marcial Street,,,El Paso,TX,79905,915-532-7273
El Camino Real de los Tejas,National Historic Trail,"Explore a diverse array of histories contained within El Camino Real de los Tejas’ 150-year life, including the Spanish struggle to missionize American Indian nations, the growth of cattle ranching in the Mexican period, and the movement for Texan independence and statehood.",National Trails Office Regions 6|7|8,El Camino Real de los Tejas National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
El Camino Real de Tierra Adentro,National Historic Trail,"Travel along El Camino Real de Tierra Adentro National Historic Trail to experience and learn from a complicated legacy of 300 years of conflict, cooperation, and cultural exchange between a variety of empires—European and non-European alike.",National Trails Office  Regions 6|7|8,El Camino Real de Tierra Adentro National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Fort Davis,National Historic Site,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.",P.O. Box 1379,101 Lt. Flipper Dr. #1379,,Fort Davis,TX,79734,1-432-426-3224
Guadalupe Mountains,National Park,"Come experience mountains and canyons, desert and dunes, night skies and spectacular vistas within a place unlike any other. Guadalupe Mountains National Park protects the world's most extensive Permian fossil reef, the four highest peaks in Texas, an environmentally diverse collection of flora and fauna, and the stories of lives shaped through conflict, cooperation and survival.",400 Pine Canyon,,,Salt Flat,TX,79847,915-828-3251
Lake Meredith,National Recreation Area,"Within the dry, windswept plains of the Texas Panhandle lies a hidden oasis, a welcoming haven where wildlife and people find relief from the dry grasslands above. Through this flat plain, the Canadian River has cut dramatic 200-foot canyons, or breaks, where humans lived 13,000 years ago.  Lake Meredith occupies these hidden coves and is a haven for migratory birds and other wildlife.",Lake Meredith National Recreation Area,P.O. Box 1460,,Fritch,TX,79036,806 857-3151
Lyndon B Johnson,National Historical Park,"---Lyndon Baines Johnson
Lyndon B. Johnson National Historical Park tells the story of our 36th President beginning with his ancestors until his final resting place on his beloved LBJ Ranch. This entire ""circle of life"" gives the visitor a unique perspective into one of America's most noteworthy citizens by providing the most complete picture of any American president.",P.O. Box 329,,,Johnson City,TX,78636,830 868-7128
Padre Island,National Seashore,"Padre Island National Seashore separates the Gulf of Mexico from the Laguna Madre, one of a few hypersaline lagoons in the world.  The park protects 66 miles of coastline, dunes, prairies, and wind tidal flats teeming with life.  It is a safe nesting ground for the Kemp’s ridley sea turtle and a haven for over 380 bird species.  It also has a rich history, including the Spanish shipwrecks of 1554.",P.O. Box 181300,,,Corpus Christi,TX,78480,361 949-8068
Palo Alto Battlefield,National Historical Park,"On May 8, 1846, United States and Mexican troops clashed on the prairie of Palo Alto. The battle was the first in a two-year long war that changed the map of North America. Palo Alto Battlefield National Historical Park preserves the site of this notable battle and provides an understanding of the causes, events, and consequences of the U.S.-Mexican War.",600 E. Harrison Street,Room 1006,,Brownsville,TX,78520,956 541-2785
Rio Grande,Wild & Scenic River,"For 196 miles, this free-flowing stretch of the Rio winds its way through desert expanses and stunning canyons of stratified rock. For the well prepared, an extended float trip provides opportunities to explore the most remote corner of Texas and experience the ultimate in solitude, self-reliance, and immersion in natural soundscapes.",Rio Grande Wild & Scenic River,c/o Big Bend National Park,PO Box 129,Big Bend National Park,TX,79834,(432) 477-2251
San Antonio Missions,National Historical Park,"Welcome to San Antonio Missions, a National Park Service site and the only UNESCO World Heritage Site in Texas.
After 10,000 years, the people of South Texas were faced with drought, European diseases, and colonization. In the early 1700s, many Native people of South Texas foreswore their traditional life to become Spanish, accepting a new religion and agrarian lifestyle in hopes of survival.",Headquarters,2202 Roosevelt Avenue,,San Antonio,TX,78210,210 932-1001
Waco Mammoth,National Monument,"Standing as tall as 14 feet and weighing 20,000 pounds, Columbian mammoths roamed across what is present-day Texas thousands of years ago. Today, the fossil specimens represent the nation's first and only recorded evidence of a nursery herd of ice age Columbian mammoths.",6220 Steinbeck Bend Drive,,,Waco,TX,76708,(254) 750-7946
Arches,National Park,"Visit Arches to discover a landscape of contrasting colors, land forms, and textures unlike any other in the world. The park has over 2,000 natural stone arches and hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.",PO Box 907,,,Moab,UT,84532,435 719-2299
Bryce Canyon,National Park,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",P.O Box 640201,,,Bryce,UT,84764,435 834-5322
California,National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",National Trails Office Regions 6|7|8,California National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Canyonlands,National Park,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.",2282 Resource Blvd.,,,Moab,UT,84532,435-719-2313
Capitol Reef,National Park,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles.","HC 70, Box 15",,,Torrey,UT,84775,435-425-3791
Cedar Breaks,National Monument,"Crowning the grand staircase, Cedar Breaks sits at over 10,000 feet and looks down into a half-mile deep geologic amphitheater. Come wander among timeless bristlecone pines, stand in lush meadows of wildflower, ponder crystal-clear night skies and experience the richness of our subalpine forest.",Cedar Breaks National Monument: Administrative Office,2390 West Highway 56 Suite #11,,Cedar City,UT,84720,(435) 986-7120
Dinosaur,National Monument,"Dinosaurs once roamed here. Their fantastic remains are still visibly embedded in the rocks. Today, the mountains, desert, and untamed rivers flowing in deep canyons support an array of life. Petroglyphs hint at earlier cultures. Later, homesteaders and outlaws found refuge here. Whether your passion is science, adventure, history or scenery, Dinosaur offers much to explore.",4545 Hwy 40,,,Dinosaur,CO,81610,435 781-7700
Glen Canyon,National Recreation Area,"Encompassing over 1.25 million acres, Glen Canyon National Recreation Area offers unparalleled opportunities for water-based & backcountry recreation. The recreation area stretches for hundreds of miles from Lees Ferry in Arizona to the Orange Cliffs of southern Utah, encompassing scenic vistas, geologic wonders, and a vast panorama of human history.",PO Box 1507,,,Page,AZ,86040,928 608-6200
Golden Spike,National Historical Park,"One of the greatest technological achievements of the 19th century, the completion of the first transcontinental railroad across the United States. Visitors to the park can see the location of the Last Spike Site, 1869 railroad construction features, walk or drive on the original railroad grade, and get an up close view of Victorian era replica locomotives.",P. O. Box 897,,,Brigham City,UT,84302,435 471-2209
Hovenweep,National Monument,"Once home to over 2,500 people, Hovenweep includes six prehistoric villages built between A.D. 1200 and 1300. Explore a variety of structures, including multistory towers perched on canyon rims and balanced on boulders. The construction and attention to detail will leave you marveling at the skill and motivation of the builders.",McElmo Route,,,Cortez,CO,81321,970 562-4282
Mormon Pioneer,National Historic Trail,"Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847.",National Trails Office Regions 6|7|8,Mormon Pioneer National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Natural Bridges,National Monument,"Three majestic natural bridges invite you to ponder the power of water in a landscape usually defined by its absence. View them from an overlook, or hit the trails and experience their grandeur from below. Declared a National Monument in 1908, the bridges are named ""Kachina,"" ""Owachomo"" and ""Sipapu"" in honor of the ancestral Puebloans who once made this place their home.",HC-60 Box 1,,,Lake Powell,UT,84533-0001,435 692-1234
Old Spanish,National Historic Trail,"Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses.",National Trails Office Regions 6|7|8,Old Spanish National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Pony Express,National Historic Trail,It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph.,National Trails Regions 6|7|8,Pony Express National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Rainbow Bridge,National Monument,"Rainbow Bridge is one of the world's largest known natural bridges. The span has undoubtedly inspired people throughout time--from the neighboring American Indian tribes who consider Rainbow Bridge sacred, to the 85,000 people from around the world who visit it each year.
Please visit Rainbow Bridge in a spirit that honors and respects the cultures to whom it is sacred.",c/o Glen Canyon National Recreation Area,PO Box 1507,691 Scenic View Dr,Page,AZ,86040,928 608-6200
Timpanogos Cave,National Monument,"Cave tours are closed for the winter. The hiking trail is open through 10/23/21.
Hike your way past stunning vistas to explore a hidden underground world. Taste the thrill of caving as you twist and bend to enter beautifully decorated rooms. Learn the science behind formations and hear stories of cave exploration and preservation. Experience and discover as you go – geologic mysteries await.",2038 W. Alpine Loop Road,,,American Fork,UT,84003,(801)756-5239
